"city","lat","lon","population","country","iso2","pbf_region","continent","len_2016_km","len_2026_km"
"Gent",51.02999758,3.700021931,337915,"Belgium","BE","e000_n55_e005_n50","Europe",392.5454,508.2299
"Denver",39.73918805,-104.984016,1930800,"USA","US","w105_n40_w100_n35","Americas",439.92844,543.93622
"Bordeaux",44.85001304,-0.595013063,517422,"France","FR","w005_n45_e000_n40","Europe",456.53061,525.44788
"Bratislava",48.15001833,17.11698075,398712,"Slovakia","SK","e015_n50_e020_n45","Europe",102.75696,154.10728
"Hartford",41.77002016,-72.67996708,518510,"USA","US","w075_n45_w070_n40","Americas",33.24597,111.85723
"Manchester",53.50041526,-2.247987103,1312758,"UK","GB","w005_n55_e000_n50","Europe",188.53322,473.58592
"Trondheim",63.41665753,10.41666622,144336,"Norway","NO","e010_n65_e015_n60","Europe",240.50461,319.70339
"Sorocaba",-23.49000161,-47.46998132,561072,"Brazil","BR","w050_s20_w045_s25","Americas",33.73384,109.65064
"Seoul",37.5663491,126.999731,9796000,"South Korea","KR","e125_n40_e130_n35","Asia",193.88653,327.07704
"Salt Lake City",40.7750163,-111.9300519,572013,"USA","US","w115_n45_w110_n40","Americas",196.83275,387.73101
"Graz",47.0777582,15.41000484,242780,"Austria","AT","e015_n50_e020_n45","Europe",134.95377,179.41296
"London",51.49999473,-0.116721844,7994105,"UK","GB","w005_n55_e000_n50","Europe",306.42334,555.09696
"Kansas City",39.10708851,-94.60409422,955273,"USA","US","w095_n40_w090_n35","Americas",56.47028,211.65285
"Callao",-12.07002684,-77.13496647,786232,"Peru","PE","w080_s10_w075_s15","Americas",37.47724,126.36405
"St. Louis",38.63501772,-90.23998051,1259958,"USA","US","w095_n40_w090_n35","Americas",130.98685,212.55553
"Ft. Worth",32.73997703,-97.34003809,1090830,"USA","US","w100_n35_w095_n30","Americas",64.12852,115.07263
"Katowice",50.26038047,19.02001705,1527362,"Poland","PL","e015_n55_e020_n50","Europe",45.6111,116.41596
"Montréal",45.49999921,-73.58329696,3017278,"Canada","CA","w075_n50_w070_n45","Americas",476.95286,555.64664
"Sydney",-33.92001097,151.1851798,4135711,"Australia","AU","e150_s30_e155_s35","Oceania",255.51457,371.50378
"Calgary",51.08299176,-114.0799982,1012661,"Canada","CA","w115_n55_w110_n50","Americas",182.38431,639.62679
"Ljubljana",46.05528831,14.51496903,284961,"Slovenia","SI","e010_n50_e015_n45","Europe",90.05932,112.26153
"Singapore",1.293033466,103.8558207,4236615,"Singapore","SG","e100_n05_e105_n00","Asia",101.89247,309.52324
"Oslo",59.91669029,10.74997921,707500,"Norway","NO","e010_n60_e015_n55","Europe",328.98415,466.42152
"Vila Velha",-20.36760822,-40.31798893,742414,"Brazil","BR","w045_s20_w040_s25","Americas",54.9148,115.00333
"Seville",37.40501528,-5.980007366,957533,"Spain","ES","w010_n40_w005_n35","Europe",243.81409,341.2118
"Kitchener",43.44999514,-80.50000655,413057,"Canada","CA","w085_n45_w080_n40","Americas",201.49802,332.26673
"Prague",50.08333701,14.46597978,582044,"Czechia","CZ","e010_n55_e015_n50","Europe",186.74073,260.23176
"Merida",20.96663881,-89.61663355,841088,"Mexico","MX","w090_n25_w085_n20","Americas",23.33454,130.96454
"Riga",56.95002382,24.09996537,723803,"Latvia","LV","e020_n60_e025_n55","Europe",60.96965,182.64249
"Louisville",38.22501691,-85.74870427,595820,"USA","US","w090_n40_w085_n35","Americas",50.8273,114.23127
"Kawasaki",35.52998761,139.705002,1372026,"Japan","JP","e135_n40_e140_n35","Asia",107.72991,153.70287
"Dallas",32.82002382,-96.84001693,3004852,"USA","US","w100_n35_w095_n30","Americas",27.84242,192.10626
"Florence",43.78000083,11.25000036,935759,"Italy","IT","e010_n45_e015_n40","Europe",94.03209,183.18912
"Concepcion",-36.83001422,-73.05002202,550864,"Chile","CL","w075_s35_w070_s40","Americas",25.26389,102.38896
"Maribor",46.54047833,15.65004187,101642,"Slovenia","SI","e015_n50_e020_n45","Europe",79.38309,145.24188
"Ottawa",45.4166968,-75.7000153,978565,"Canada","CA","w080_n50_w075_n45","Americas",375.23621,464.68745
"Raleigh",35.81878135,-78.64469344,789992,"USA","US","w080_n40_w075_n35","Americas",137.52168,242.32284
"Duisburg",51.42997316,6.750016641,882381,"Germany","DE","e005_n55_e010_n50","Europe",245.594,275.39827
"Milan",45.4699752,9.20500891,2125831,"Italy","IT","e005_n50_e010_n45","Europe",365.33942,599.75045
"Tulsa",36.12000327,-95.93002079,669434,"USA","US","w100_n40_w095_n35","Americas",66.18382,164.46882
"Lyon",45.77000856,4.830030475,947659,"France","FR","e000_n50_e005_n45","Europe",333.12922,430.37073
"Glasgow",55.87440472,-4.250707236,885134,"UK","GB","w005_n60_e000_n55","Europe",204.81058,266.49672
"Victoria",48.43328269,-123.3500009,270492,"Canada","CA","w125_n50_w120_n45","Americas",105.0327,195.5625
"Indianapolis",39.74998842,-86.17004806,1104642,"USA","US","w090_n40_w085_n35","Americas",121.54404,220.37027
"West Palm Beach",26.74501996,-80.12362126,675522,"USA","US","w085_n30_w080_n25","Americas",141.85244,217.7542
"Zaragoza",41.65000165,-0.889982138,548956,"Spain","ES","w005_n45_e000_n40","Europe",141.61398,190.54698
"Rome",41.89595563,12.48325842,1687226,"Italy","IT","e010_n45_e015_n40","Europe",80.20183,155.24523
"Winnipeg",49.88298749,-97.16599186,603688,"Canada","CA","w100_n50_w095_n45","Americas",259.77738,360.58778
"Vitoria",-20.32399331,-40.36599634,1008328,"Brazil","BR","w045_s20_w040_s25","Americas",62.74191,122.60807
"Geneva",46.21000755,6.140028034,716193,"Switzerland","CH","e005_n50_e010_n45","Europe",213.19908,297.70829
"Puebla",19.04995994,-98.20003727,1793550,"Mexico","MX","w100_n20_w095_n15","Americas",14.06677,136.16018
"London",42.9699986,-81.24998661,340900,"Canada","CA","w085_n45_w080_n40","Americas",56.03334,162.17613
"Baltimore",39.29999005,-76.61998499,1432946,"USA","US","w080_n40_w075_n35","Americas",70.57084,131.70937
"Cincinnati",39.16188479,-84.45692265,971191,"USA","US","w085_n40_w080_n35","Americas",82.14436,129.81972
"Fresno",36.7477169,-119.7729841,540768,"USA","US","w120_n40_w115_n35","Americas",59.2873,327.32054
"Ostrava",49.83035504,18.24998653,396026,"Czechia","CZ","e015_n50_e020_n45","Europe",91.80013,169.54189
"San Antonio",29.48733319,-98.50730534,1364905,"USA","US","w100_n30_w095_n25","Americas",204.81688,248.81647
"Moscow",55.75216412,37.61552283,10452000,"Russia","RU","e035_n60_e040_n55","Europe",67.22961,191.53609
"St. Paul",44.94398663,-93.08497481,509961,"USA","US","w095_n45_w090_n40","Americas",228.3881,693.31174
"Los Angeles",33.98997825,-118.1799805,8097410,"USA","US","w120_n35_w115_n30","Americas",125.11089,260.97925
"Daejeon",36.33554567,127.425028,1458165,"South Korea","KR","e125_n40_e130_n35","Asia",16.49127,130.11246
"Edmonton",53.55002464,-113.4999819,885196,"Canada","CA","w115_n55_w110_n50","Americas",78.31776,603.20472
"Nantes",47.21038576,-1.590016929,357903,"France","FR","w005_n50_e000_n45","Europe",280.28086,359.20807
"Orlando",28.50997683,-81.38003036,778985,"USA","US","w085_n30_w080_n25","Americas",256.20473,322.61298
"Windsor",42.33329327,-83.03334029,265069,"Canada","CA","w085_n45_w080_n40","Americas",86.68195,308.84151
"Vienna",48.20001528,16.36663896,2065500,"Austria","AT","e015_n50_e020_n45","Europe",586.94907,655.63978
"Shanghai",31.21645245,121.4365047,14797756,"China","CN","e120_n35_e125_n30","Asia",562.51539,785.50699
"Irvine",33.68041058,-117.8299502,1611304,"USA","US","w120_n35_w115_n30","Americas",486.66744,773.62353
"Kiev",50.43336733,30.51662797,2185754,"Ukraine","UA","e030_n55_e035_n50","Europe",10.57566,141.05944
"Tartu",58.38394147,26.70988358,90034,"Estonia","EE","e025_n60_e030_n55","Europe",41.00264,206.17119
"Doha",25.28655601,51.53296789,1090655,"Qatar","QA","e050_n30_e055_n25","Asia",25.40789,208.46301
"Buffalo",42.87997825,-78.88000208,647779,"USA","US","w080_n45_w075_n40","Americas",77.38738,135.27657
"Phoenix",33.53997988,-112.0699917,2436023,"USA","US","w115_n35_w110_n30","Americas",391.40756,482.92493
"Austin",30.26694969,-97.74277836,919684,"USA","US","w100_n35_w095_n30","Americas",91.11132,361.93515
"Tacoma",47.21131594,-122.5150131,460273,"USA","US","w125_n50_w120_n45","Americas",146.88024,203.00976
"Madrid",40.40002626,-3.683351686,2808719,"Spain","ES","w005_n45_e000_n40","Europe",308.34029,380.45298
"Boston",42.32996014,-71.07001367,2528071,"USA","US","w075_n45_w070_n40","Americas",237.12373,387.66264
"Milwaukee",43.05265505,-87.91996708,983590,"USA","US","w090_n45_w085_n40","Americas",103.30766,260.85297
"Cordoba",-31.39995807,-64.18229456,1374468,"Argentina","AR","w065_s30_w060_s35","Americas",42.95107,110.04368
"Warsaw",52.25000063,20.99999955,1704570,"Poland","PL","e020_n55_e025_n50","Europe",359.13122,511.44599
"Atlanta",33.83001385,-84.39994938,2464454,"USA","US","w085_n35_w080_n30","Americas",46.52878,231.52266
"Lodz",51.77499086,19.45136023,758000,"Poland","PL","e015_n55_e020_n50","Europe",95.70696,187.36482
"Leeds",53.83000755,-1.580017539,992062,"UK","GB","w005_n55_e000_n50","Europe",121.81474,274.25076
"Tucson",32.20499676,-110.8899862,670954,"USA","US","w115_n35_w110_n30","Americas",144.42046,618.7421
"Hamilton",43.24998151,-79.82999577,620501,"Canada","CA","w080_n45_w075_n40","Americas",96.01421,191.36098
"Kaohsiung",22.63330711,120.2666019,2144392,"Taiwan","TW","e120_n25_e125_n20","Asia",41.56794,106.24453
"Ciudad Juarez",31.69037701,-106.4900481,1343000,"Mexico","MX","w110_n35_w105_n30","Americas",80.30257,136.71251
"Leon",21.1499868,-101.7000304,1301313,"Mexico","MX","w105_n25_w100_n20","Americas",47.90032,123.25313
"Lima",-12.04801268,-77.05006209,7385117,"Peru","PE","w080_s10_w075_s15","Americas",52.03499,235.0868
"Brasilia",-15.78334023,-47.91605229,3139980,"Brazil","BR","w050_s15_w045_s20","Americas",129.60796,214.82083
"Oshawa",43.87999473,-78.84997807,349476,"Canada","CA","w080_n45_w075_n40","Americas",34.87648,219.52496
"Brussels",50.83331708,4.333316608,1381011,"Belgium","BE","e000_n55_e005_n50","Europe",444.32354,540.20881
"Mendoza",-32.88333006,-68.81661117,827815,"Argentina","AR","w070_s30_w065_s35","Americas",17.14323,157.69488
"Porto",41.15000633,-8.620001263,793317,"Portugal","PT","w010_n45_w005_n40","Europe",40.70981,103.13585
"Christchurch",-43.53503131,172.6300207,295352,"New Zealand","NZ","e170_s40_e175_s45","Oceania",213.33565,458.24672
"Malmo",55.58333722,13.03330237,265449,"Sweden","SE","e010_n60_e015_n55","Europe",342.56086,405.17546
"Tampere",61.5000045,23.75001257,230983,"Finland","FI","e020_n65_e025_n60","Europe",821.48212,975.34238
"Bologna",44.50042198,11.34002071,429695,"Italy","IT","e010_n45_e015_n40","Europe",160.99103,326.70099
"Detroit",42.32996014,-83.08005579,2526135,"USA","US","w085_n45_w080_n40","Americas",74.93315,277.03244
"Taiyuan",37.87501243,112.5450577,2817738,"China","CN","e110_n40_e115_n35","Asia",56.86046,151.89244
"Rochester",43.17042564,-77.61994979,483177,"USA","US","w080_n45_w075_n40","Americas",6.86189,130.03198
"Sacramento",38.57502138,-121.4700381,1035949,"USA","US","w125_n40_w120_n35","Americas",310.53763,654.32372
"Vasteraas",59.63001528,16.54001339,100187,"Sweden","SE","e015_n60_e020_n55","Europe",408.09336,472.98243
"Salvador",-12.9699719,-38.47998743,3081423,"Brazil","BR","w040_s10_w035_s15","Americas",52.49955,102.26076
"Jinan",36.67498232,116.9950187,2433633,"China","CN","e115_n40_e120_n35","Asia",21.98913,182.08422
"Bilbao",43.24998151,-2.929986818,614370,"Spain","ES","w005_n45_e000_n40","Europe",66.34559,144.22527
"Bergen",60.39100242,5.324522256,200390,"Norway","NO","e005_n65_e010_n60","Europe",129.42261,227.46573
"Dublin",53.33306114,-6.248905682,1013988,"Ireland","IE","w010_n55_w005_n50","Europe",269.43484,498.19846
"Osaka",34.75003522,135.4601448,6943207,"Japan","JP","e135_n35_e140_n30","Asia",71.25992,168.58538
"Montpellier",43.61039878,3.869985716,287753,"France","FR","e000_n45_e005_n40","Europe",253.8479,316.17732
"Santos",-23.95372393,-46.33294266,1060202,"Brazil","BR","w050_s20_w045_s25","Americas",77.23168,140.27664
"Edinburgh",55.94832786,-3.219090618,470379,"UK","GB","w005_n60_e000_n55","Europe",124.34053,223.71117
"Verona",45.44039044,10.99001623,300334,"Italy","IT","e010_n50_e015_n45","Europe",82.07735,148.55199
"Tallinn",59.43387738,24.72804073,367026,"Estonia","EE","e020_n60_e025_n55","Europe",189.84884,436.85194
"Stavanger",58.97000389,5.680004434,136999,"Norway","NO","e005_n60_e010_n55","Europe",200.68064,298.49019
"Bogota",4.596423563,-74.08334396,7052831,"Colombia","CO","w075_n05_w070_n00","Americas",158.76621,301.55974
"Paris",48.86669293,2.333335326,4957589,"France","FR","e000_n50_e005_n45","Europe",528.51668,744.89093
"Las Vegas",36.20999778,-115.2200061,1150717,"USA","US","w120_n40_w115_n35","Americas",30.71455,418.4285
"Charlotte",35.20499453,-80.83003809,943575,"USA","US","w085_n40_w080_n35","Americas",8.56265,218.92124
"Beijing",39.92889223,116.3882857,9293301,"China","CN","e115_n40_e120_n35","Asia",220.86441,414.28675
"Turin",45.07038719,7.669960489,1258632,"Italy","IT","e005_n50_e010_n45","Europe",231.99971,352.50292
"Sao Paulo",-23.55867959,-46.62501998,14433148,"Brazil","BR","w050_s20_w045_s25","Americas",128.53178,186.61017
"Uppsala",59.86005292,17.63999792,130426,"Sweden","SE","e015_n60_e020_n55","Europe",299.05788,452.3995
"Nashville",36.16997438,-86.77998499,703926,"USA","US","w090_n40_w085_n35","Americas",38.0525,131.08493
"Antwerpen",51.22037355,4.415017048,689903,"Belgium","BE","e000_n55_e005_n50","Europe",670.99607,891.1873
"Fortaleza",-3.750017884,-38.57998132,2958718,"Brazil","BR","w040_n00_w035_s05","Americas",18.41032,114.3201
"Linz",48.31923281,14.28878129,265162,"Austria","AT","e010_n50_e015_n45","Europe",73.99525,104.46305
